mean_degree,degree_variance,density,radius_by_leaps,diameter_by_leaps,min_length,max_length,radius_by_length,diameter_by_length,total_data_rate,block_rate
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7500,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8540,0.17777777777777778
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,4734.734355774866,8140,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9300,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8900,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9500,0.17777777777777778
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,9540,0.15555555555555556
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8760,0.3111111111111111
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8760,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8800,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9340,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8660,0.3333333333333333
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8760,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8760,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9340,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8800,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8860,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,9340,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9340,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9340,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,4734.734355774866,9340,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8200,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9400,0.17777777777777778
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8200,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8200,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9300,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8200,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,9240,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8500,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9540,0.15555555555555556
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8200,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,4734.734355774866,9240,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8700,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8700,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9300,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8300,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8300,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,9140,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9500,0.17777777777777778
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9540,0.15555555555555556
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,4734.734355774866,9140,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2374.1559285818826,4734.734355774866,7140,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8900,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9300,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8900,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7200,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7060,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8500,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8200,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7160,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,7140,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8500,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7500,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7940,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2622.261712398084,4734.734355774866,8540,0.17777777777777778
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7940,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7140,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8240,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7940,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,8540,0.17777777777777778
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9140,0.2222222222222222
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7140,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7540,0.2
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7940,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,4734.734355774866,8140,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7500,0.2222222222222222
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8540,0.17777777777777778
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2744.001344433808,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9100,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7100,0.28888888888888886
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8100,0.26666666666666666
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8140,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,4734.734355774866,8140,0.24444444444444444
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9300,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,7800,0.3111111111111111
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9500,0.17777777777777778
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2796.0321461926706,5309.066727591329,9540,0.15555555555555556
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8660,0.3333333333333333
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8760,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8760,0.3111111111111111
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9000,0.24444444444444444
3.8,7.733333333333333,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9240,0.2
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,9000,0.26666666666666666
3.8,7.955555555555556,0.4222222222222222,1,2,239.02331360824977,3202.220632439111,2804.0886967657716,5309.066727591329,8700,0.3111111111111111
